24,,,,,,
0,0,800,900,400,450,0.1f
800,0,1600,900,400,450,0.1f
1600,0,2400,900,400,450,0.1f
2400,0,3200,900,400,450,0.1f
3200,0,4000,900,400,450,0.1f
4000,0,4800,900,400,450,0.1f
4800,0,5600,900,400,450,0.1f
5600,0,6400,900,400,450,0.1f
6400,0,7200,900,400,450,0.1f
7200,0,8000,900,400,450,0.1f
8000,0,8800,900,400,450,0.1f
8800,0,9600,900,400,450,0.1f
0,900,800,1800,400,450,0.1f
800,900,1600,1800,400,450,0.1f
1600,900,2400,1800,400,450,0.1f
2400,900,3200,1800,400,450,0.1f
3200,900,4000,1800,400,450,0.1f
4000,900,4800,1800,400,450,0.1f
4800,900,5600,1800,400,450,0.1f
5600,900,6400,1800,400,450,0.1f
6400,900,7200,1800,400,450,0.1f
7200,900,8000,1800,400,450,0.1f
8000,900,8800,1800,400,450,0.1f
8800,900,9600,1800,400,450,0.1f
